left_categ,centleft_categ,centright_categ,right_categ,corr_resp,type,corrans,image
stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,2,1,Outdoor activity & sport item,stimuli/objects/umbrella04.jpg
stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,4,1,Outdoor activity & sport item,stimuli/objects/weight01.jpg
stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,1,1,Outdoor activity & sport item,stimuli/objects/propanetank01.jpg
stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,2,1,Outdoor activity & sport item,stimuli/objects/kneepad01c.jpg
stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Electronic device & accessory.png.png,1,1,Outdoor activity & sport item,stimuli/objects/swing.jpg
stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,4,1,Outdoor activity & sport item,stimuli/objects/downhillski.jpg
stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Electronic device & accessory.png.png,2,1,Outdoor activity & sport item,stimuli/objects/exercisebike.jpg
stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,1,1,Outdoor activity & sport item,stimuli/objects/waterbottleholder.jpg
stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,2,1,Outdoor activity & sport item,stimuli/objects/baseball01a.jpg
stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Electronic device & accessory.png.png,1,1,Outdoor activity & sport item,stimuli/objects/skipole.jpg
stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Electronic device & accessory.png.png,2,0,Kitchen & utensil,stimuli/objects/whisk.jpg
stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,2,0,Electronic device & accessory,stimuli/objects/megaphone.jpg
stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,1,1,Outdoor activity & sport item,stimuli/objects/shinpad.jpg
stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,4,1,Outdoor activity & sport item,stimuli/objects/parachute.jpg
stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,2,0,Hand labour tool & accessory,stimuli/objects/hammer01.jpg
stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Kitchen & utensil.png.png,3,1,Outdoor activity & sport item,stimuli/objects/hockeygoaliemask.jpg
stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,3,1,Outdoor activity & sport item,stimuli/objects/birdie.jpg
stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,2,1,Outdoor activity & sport item,stimuli/objects/podium.jpg
stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,2,0,Electronic device & accessory,stimuli/objects/usbkey.jpg
stimuli/stimuli/Electronic device & accessory.png.png,stimuli/stimuli/Kitchen & utensil.png.png,stimuli/stimuli/Hand labour tool & accessory.png.png,stimuli/stimuli/Outdoor activity & sport item.png.png,2,0,Kitchen & utensil,stimuli/objects/towel01.jpg
